sep=;
timestamp;gyro-alpha;gyro-beta;gyro-gamma;accel-x;accel-y;accel-z
1445425398229;142.27743530273438;-114.1364517211914;-8.061606407165527;0.242218017578125;-7.63055419921875;-3.7520294189453125
1445425398261;140.2013397216797;-113.88397216796875;-8.414238929748535;-2.150604248046875;-9.199615478515625;-4.65423583984375
1445425398294;135.93145751953125;-112.63919830322266;-8.391355514526367;-2.621337890625;-10.180282592773438;-4.850372314453125
1445425398328;131.0515594482422;-111.37572479248047;-7.725345611572266;-1.856414794921875;-11.435531616210938;-6.105621337890625
1445425398359;128.70547485351562;-111.12960815429688;-7.3384504318237305;0.28143310546875;-9.631103515625;-6.2625274658203125
1445425398392;123.4366455078125;-111.19264221191406;-7.476625442504883;0.5167999267578125;-8.454315185546875;-5.026885986328125
1445425398426;120.9307861328125;-111.40660095214844;-7.780909538269043;2.929229736328125;-7.9639739990234375;-2.7321319580078125
1445425398458;118.77775573730469;-111.778076171875;-7.746679306030273;4.380615234375;-10.180282592773438;-2.1633453369140625
1445425398493;119.68376159667969;-111.1705322265625;-8.205225944519043;3.2430419921875;-14.024490356445312;-2.575225830078125
1445425398524;120.3675537109375;-111.42407989501953;-8.304932594299316;2.55657958984375;-8.76812744140625;0.7982635498046875
1445425398556;121.63720703125;-111.8302230834961;-7.533278942108154;1.556304931640625;-7.669769287109375;1.249359130859375
1445425398589;124.88705444335938;-108.43511962890625;-6.092705726623535;-1.1895599365234375;-11.10211181640625;0.7394256591796875
1445425398623;125.74604797363281;-106.09088897705078;-5.768518924713135;-0.0519866943359375;-9.650726318359375;0.13140869140625
1445425398656;125.09677124023438;-102.490478515625;-5.606072902679443;1.3209381103515625;-9.06231689453125;0.2883148193359375
1445425398689;124.76982116699219;-99.16101837158203;-5.5943779945373535;2.811553955078125;-9.258453369140625;0.0333404541015625
1445425398722;125.06822204589844;-97.29227447509766;-5.843995094299316;0.8894500732421875;-10.101821899414062;0.1510162353515625
1445425398755;125.07566833496094;-93.96955108642578;-6.573705196380615;0.418731689453125;-9.96453857421875;0.30792236328125
1445425398787;125.03817749023438;-91.45800018310547;-6.868701934814453;0.359893798828125;-9.552658081054688;0.504058837890625
1445425398821;125.2139892578125;-90.22732543945312;-7.0410075187683105;-0.0716094970703125;-9.90570068359375;0.7786407470703125
1445425398855;125.77389526367188;-87.88542175292969;-7.394531726837158;-0.3069610595703125;-9.984146118164062;0.8571014404296875
1445425398887;126.41046142578125;-85.72330474853516;-7.802342414855957;0.7325439453125;-9.748779296875;0.58251953125
1445425398920;126.86221313476562;-84.74353790283203;-8.091473579406738;1.105194091796875;-9.591873168945312;0.6609649658203125
1445425398953;128.54931640625;-82.95133972167969;-8.760414123535156;1.3405609130859375;-10.062606811523438;0.7198028564453125
1445425398987;129.68560791015625;-82.04827117919922;-9.163477897644043;0.8502197265625;-10.7686767578125;0.386383056640625
1445425399018;131.7511444091797;-80.33694458007812;-10.417802810668945;0.0853118896484375;-10.8863525390625;0.5236663818359375
1445425399052;133.29774475097656;-79.4588851928711;-11.470739364624023;-0.287353515625;-11.474761962890625;-0.2216339111328125
