sep=;
timestamp;gyro-alpha;gyro-beta;gyro-gamma;accel-x;accel-y;accel-z
1445509679372;127.22119140625;-79.134765625;-5.461287498474121;2.43890380859375;-12.828079223632812;-3.0067291259765625
1445509679397;126.45133972167969;-78.18650817871094;-6.055806636810303;2.49774169921875;-13.67144775390625;-2.8498077392578125
1445509679429;125.2095947265625;-77.2511978149414;-7.064009666442871;1.6543731689453125;-14.004867553710938;-3.026336669921875
1445509679464;124.15788269042969;-77.56597137451172;-7.1629767417907715;3.262664794921875;-13.808746337890625;-3.85009765625
1445509679496;121.82408142089844;-81.25013732910156;-6.7709641456604;3.0665283203125;-14.279464721679688;-4.2031402587890625
1445509679532;121.08187866210938;-88.9946517944336;-6.726273536682129;1.8897247314453125;-16.18194580078125;-0.692352294921875
1445509679564;122.57696533203125;-93.95478057861328;-6.431899070739746;0.242218017578125;-13.691055297851562;0.9747772216796875
1445509679594;125.26707458496094;-101.25735473632812;-4.411566734313965;0.8109893798828125;-12.141616821289062;1.818145751953125
1445509679629;125.90800476074219;-106.85157012939453;-2.2590692043304443;2.0074005126953125;-11.317855834960938;-0.6138916015625
1445509679661;123.22061157226562;-109.9469223022461;-1.6210218667984009;0.6737060546875;-11.631668090820312;-2.5556182861328125
1445509679693;114.27471923828125;-117.99336242675781;-1.9792957305908203;1.8701171875;-8.513153076171875;-0.6138916015625
1445509679726;110.18989562988281;-122.533203125;-2.9705796241760254;2.2819976806640625;-4.472808837890625;0.24908447265625
1445509679760;103.17727661132812;-130.5797576904297;-6.068120956420898;2.242767333984375;-2.9429779052734375;0.680572509765625
1445509679792;97.94039916992188;-135.73806762695312;-9.32972526550293;2.066253662109375;-1.4131317138671875;-0.0254974365234375
1445509679826;95.9114990234375;-136.68911743164062;-10.447603225708008;2.3996734619140625;-0.68743896484375;-3.57550048828125
1445509679859;93.2510986328125;-135.49610900878906;-10.756187438964844;3.0272979736328125;-1.7465667724609375;-4.59539794921875
1445509679892;92.5244140625;-130.78585815429688;-9.44753646850586;5.2239837646484375;-7.0029296875;-4.3011932373046875
1445509679925;93.32403564453125;-128.38803100585938;-8.135140419006348;4.7336578369140625;-14.534439086914062;-0.94732666015625
1445509679958;98.30816650390625;-122.84114837646484;-4.246938228607178;4.694427490234375;-11.298233032226562;-2.516387939453125
1445509679991;102.73452758789062;-116.49105834960938;-2.4586167335510254;2.4585113525390625;-9.042709350585938;-0.4962158203125
1445509680024;105.62823486328125;-113.30033874511719;-2.2986183166503906;1.5759124755859375;-13.1614990234375;-0.692352294921875
1445509680057;112.16386413574219;-106.53778839111328;-2.3391051292419434;1.7720489501953125;-13.965652465820312;-1.261138916015625
1445509680089;115.28363037109375;-100.1627197265625;-2.6376869678497314;0.1245269775390625;-12.71038818359375;-1.947601318359375
1445509680122;114.99383544921875;-97.70820617675781;-2.666616439819336;-1.7191162109375;-11.984695434570312;-2.26141357421875
