sep=;
timestamp;gyro-alpha;gyro-beta;gyro-gamma;accel-x;accel-y;accel-z
1445421577850;282.8235168457031;-157.05514526367188;34.81245040893555;-5.75946044921875;-3.2960052490234375;-7.243194580078125
1445421577883;283.0271301269531;-156.87184143066406;34.91532897949219;-5.7790679931640625;-3.452911376953125;-7.243194580078125
1445421577916;283.49859619140625;-156.55503845214844;35.109169006347656;-5.8379058837890625;-3.4921417236328125;-7.2824249267578125
1445421577949;283.9490661621094;-156.31741333007812;35.324710845947266;-5.87713623046875;-3.4136962890625;-7.10589599609375
1445421577981;284.0897216796875;-156.24172973632812;35.40929412841797;-5.955596923828125;-3.2960052490234375;-7.10589599609375
1445421578016;284.1254577636719;-156.2021484375;35.506404876708984;-5.99481201171875;-3.19793701171875;-7.0862884521484375
1445421578048;283.982421875;-156.26535034179688;35.49752426147461;-5.9163665771484375;-3.13909912109375;-7.125518798828125
1445421578082;283.8799743652344;-156.3212127685547;35.448394775390625;-5.75946044921875;-3.1783294677734375;-7.2039642333984375
1445421578114;283.7210388183594;-156.428955078125;35.28565979003906;-5.6613922119140625;-3.19793701171875;-7.184356689453125
1445421578147;283.627197265625;-156.4984588623047;35.19722366333008;-5.7202301025390625;-3.158721923828125;-7.3216400146484375
1445421578180;283.4227294921875;-156.65899658203125;35.02644729614258;-5.70062255859375;-3.217559814453125;-7.3804931640625
1445421578214;283.22607421875;-156.81488037109375;34.89236831665039;-5.7202301025390625;-3.1194915771484375;-7.4001007080078125
1445421578246;283.1273193359375;-156.91517639160156;34.79510498046875;-5.680999755859375;-3.0606536865234375;-7.3216400146484375
1445421578279;283.1076965332031;-156.9460906982422;34.749691009521484;-5.6025543212890625;-3.0410308837890625;-7.2824249267578125
1445421578312;283.10699462890625;-156.96792602539062;34.692325592041016;-5.7398529052734375;-3.0410308837890625;-7.3412628173828125
1445421578347;283.1015930175781;-156.97854614257812;34.64861297607422;-5.622161865234375;-3.158721923828125;-7.3216400146484375
1445421578379;283.1736145019531;-156.94314575195312;34.55144119262695;-5.6025543212890625;-3.217559814453125;-7.3216400146484375
1445421578412;283.2428894042969;-156.90354919433594;34.4533805847168;-5.563323974609375;-3.217559814453125;-7.4393310546875
1445421578444;283.2506103515625;-156.89820861816406;34.43473434448242;-5.5437164306640625;-3.2371673583984375;-7.5177764892578125
1445421578477;283.30023193359375;-156.8888397216797;34.3958854675293;-5.5437164306640625;-3.2960052490234375;-7.4589385986328125
1445421578510;283.3132019042969;-156.886474609375;34.39892578125;-5.6025543212890625;-3.19793701171875;-7.5177764892578125
1445421578543;283.2954406738281;-156.87600708007812;34.434139251708984;-5.64178466796875;-3.2371673583984375;-7.4393310546875
1445421578576;283.2223205566406;-156.84725952148438;34.47499084472656;-5.58294677734375;-3.13909912109375;-7.419708251953125
1445421578609;283.11260986328125;-156.8418731689453;34.51328659057617;-5.622161865234375;-3.1783294677734375;-7.3804931640625
1445421578642;283.0509338378906;-156.8495635986328;34.525028228759766;-5.58294677734375;-3.13909912109375;-7.4393310546875
1445421578675;282.9866027832031;-156.83604431152344;34.57223892211914;-5.64178466796875;-3.19793701171875;-7.4589385986328125
1445421578708;282.9819030761719;-156.8209991455078;34.60708999633789;-5.7398529052734375;-3.19793701171875;-7.4001007080078125
1445421578742;282.98699951171875;-156.79051208496094;34.68347930908203;-5.7202301025390625;-3.1783294677734375;-7.3804931640625
1445421578775;283.08782958984375;-156.73666381835938;34.71647262573242;-5.622161865234375;-3.2567901611328125;-7.3216400146484375
1445421578808;283.10382080078125;-156.73118591308594;34.719932556152344;-5.58294677734375;-3.13909912109375;-7.3412628173828125
1445421578840;283.01824951171875;-156.76962280273438;34.73200607299805;-5.6613922119140625;-3.13909912109375;-7.360870361328125
1445421578873;282.96600341796875;-156.7913360595703;34.72650909423828;-5.622161865234375;-3.13909912109375;-7.4001007080078125
1445421578906;282.8914489746094;-156.8223876953125;34.72700881958008;-5.622161865234375;-3.1194915771484375;-7.3804931640625
1445421578939;282.8607482910156;-156.83999633789062;34.707271575927734;-5.58294677734375;-3.099884033203125;-7.3804931640625
1445421578971;282.8233947753906;-156.85809326171875;34.686767578125;-5.58294677734375;-3.13909912109375;-7.3412628173828125
1445421579005;282.82916259765625;-156.86012268066406;34.65803527832031;-5.622161865234375;-3.13909912109375;-7.4589385986328125
1445421579038;282.9244384765625;-156.8238067626953;34.638912200927734;-5.622161865234375;-3.158721923828125;-7.4001007080078125
1445421579072;282.957275390625;-156.7695770263672;34.6384162902832;-5.8379058837890625;-3.158721923828125;-7.4001007080078125
1445421579105;283.0129089355469;-156.71873474121094;34.64308547973633;-5.7790679931640625;-3.217559814453125;-7.4589385986328125
1445421579137;283.3084716796875;-156.52349853515625;34.73304748535156;-5.955596923828125;-3.3548583984375;-7.3804931640625
1445421579170;283.5233154296875;-156.39796447753906;34.77513885498047;-5.680999755859375;-3.3744659423828125;-7.360870361328125
1445421579203;283.8818664550781;-156.1816864013672;34.78612518310547;-5.563323974609375;-3.3548583984375;-7.3804931640625
1445421579236;283.99688720703125;-156.17848205566406;34.65404510498047;-5.426025390625;-3.13909912109375;-7.4001007080078125
1445421579269;284.1115417480469;-156.1540069580078;34.567840576171875;-5.2691192626953125;-3.158721923828125;-7.2235870361328125
1445421579302;284.2855529785156;-156.1426544189453;34.243865966796875;-5.2102813720703125;-3.217559814453125;-7.2824249267578125
1445421579335;284.30865478515625;-156.19163513183594;33.94795227050781;-5.3475799560546875;-3.2567901611328125;-7.419708251953125
1445421579368;284.3672180175781;-156.16464233398438;33.832374572753906;-5.327972412109375;-3.394073486328125;-7.4001007080078125
1445421579401;284.49200439453125;-156.06781005859375;33.71001434326172;-5.3671875;-3.5509796142578125;-7.4393310546875
1445421579436;284.4479675292969;-156.07247924804688;33.6995849609375;-5.3671875;-3.4921417236328125;-7.5962371826171875
1445421579468;284.2883605957031;-156.1676483154297;33.724708557128906;-5.2887420654296875;-3.4725341796875;-7.5962371826171875
1445421579500;284.0691833496094;-156.28610229492188;33.874080657958984;-5.4064178466796875;-3.2567901611328125;-7.5177764892578125
1445421579537;283.955810546875;-156.3322296142578;34.01430892944336;-5.622161865234375;-3.1783294677734375;-7.3216400146484375
1445421579566;283.8031005859375;-156.39491271972656;34.31350326538086;-5.6613922119140625;-3.158721923828125;-7.302032470703125
1445421579601;283.5679626464844;-156.49636840820312;34.57562255859375;-5.70062255859375;-3.099884033203125;-7.3412628173828125
1445421579632;283.4505615234375;-156.54420471191406;34.69721984863281;-5.6613922119140625;-3.1194915771484375;-7.3412628173828125
1445421579665;283.20391845703125;-156.6320037841797;34.92217254638672;-5.7202301025390625;-3.13909912109375;-7.3412628173828125
1445421579698;282.9767761230469;-156.70606994628906;35.081939697265625;-5.70062255859375;-3.13909912109375;-7.2824249267578125
1445421579730;282.9308166503906;-156.71859741210938;35.12916946411133;-5.75946044921875;-3.1783294677734375;-7.302032470703125
1445421579764;282.94061279296875;-156.73159790039062;35.15376663208008;-5.75946044921875;-3.217559814453125;-7.302032470703125
1445421579796;282.9593811035156;-156.7462921142578;35.13716506958008;-5.75946044921875;-3.2371673583984375;-7.3412628173828125
1445421579830;282.9721984863281;-156.82066345214844;35.070072174072266;-5.70062255859375;-3.217559814453125;-7.3216400146484375
1445421579862;282.89447021484375;-156.93016052246094;34.97140884399414;-5.563323974609375;-3.13909912109375;-7.3412628173828125
1445421579896;282.8230285644531;-156.98666381835938;34.9285888671875;-5.426025390625;-3.08026123046875;-7.4785614013671875
1445421579930;282.70477294921875;-157.08334350585938;34.8563232421875;-5.4652557373046875;-3.08026123046875;-7.4393310546875
1445421579962;282.66168212890625;-157.1170196533203;34.87384796142578;-5.5437164306640625;-3.08026123046875;-7.3804931640625
1445421580000;282.72357177734375;-157.10061645507812;34.9378547668457;-5.64178466796875;-3.1194915771484375;-7.4001007080078125
1445421580028;282.7581787109375;-157.0881805419922;34.976844787597656;-5.64178466796875;-3.13909912109375;-7.3804931640625
1445421580063;282.77392578125;-157.08067321777344;35.0439567565918;-5.6613922119140625;-3.099884033203125;-7.3804931640625
1445421580096;282.75726318359375;-157.0778045654297;35.078651428222656;-5.70062255859375;-3.13909912109375;-7.3216400146484375
1445421580128;282.81256103515625;-157.0410919189453;35.09614562988281;-5.70062255859375;-3.1783294677734375;-7.3216400146484375
1445421580160;282.8609619140625;-157.02662658691406;35.02812576293945;-5.622161865234375;-3.2567901611328125;-7.4001007080078125
1445421580193;282.8739929199219;-157.02333068847656;34.9971923828125;-5.622161865234375;-3.19793701171875;-7.3804931640625
1445421580226;282.8529357910156;-157.04339599609375;34.93761444091797;-5.6613922119140625;-3.1783294677734375;-7.4393310546875
1445421580259;282.8486328125;-157.0494384765625;34.90520477294922;-5.64178466796875;-3.19793701171875;-7.4589385986328125
