sep=;
timestamp;gyro-alpha;gyro-beta;gyro-gamma;accel-x;accel-y;accel-z
1445508893589;61.558380126953125;-101.30327606201172;3.4507980346679688;-1.0091559886932373;-8.789113998413086;-2.5665841102600098
1445508893621;61.885009765625;-102.88616943359375;3.7548913955688477;-0.4920084476470947;-8.572439193725586;-2.4468741416931152
1445508893654;60.433624267578125;-105.782958984375;3.229827642440796;0.7146692276000977;-8.78073501586914;-2.0901381969451904
1445508893687;59.323516845703125;-106.87125396728516;2.8269283771514893;0.5961562395095825;-9.642647743225098;-1.6124948263168335
1445508893720;54.069305419921875;-107.70628356933594;0.5968306064605713;1.6412252187728882;-12.168530464172363;-2.369062662124634
1445508893753;50.52667236328125;-107.53887176513672;-0.7581459879875183;2.473210334777832;-12.980164527893066;-2.1571757793426514
1445508893786;45.69207763671875;-107.46730041503906;-2.8212320804595947;1.7369933128356934;-12.018892288208008;-2.9712042808532715
1445508893819;44.543212890625;-106.89360809326172;-3.3358049392700195;0.8224082589149475;-11.840524673461914;-2.033874273300171
1445508893853;41.9420166015625;-105.33086395263672;-4.538819789886475;1.4915876388549805;-10.451887130737305;-1.3084312677383423
1445508893885;40.00006103515625;-103.79548645019531;-5.803128719329834;1.647210717201233;-8.921992301940918;-1.2282254695892334
1445508893918;39.655853271484375;-103.30465698242188;-6.366482734680176;1.558625340461731;-8.633491516113281;-1.3970166444778442
1445508893950;40.65045166015625;-102.94137573242188;-7.098282814025879;0.35075053572654724;-9.309853553771973;-1.8722656965255737
1445508893984;41.794769287109375;-103.0792236328125;-7.279610633850098;0.47165772318840027;-9.81263542175293;-1.9560627937316895
1445508894017;44.51776123046875;-103.91317749023438;-7.921839714050293;0.5805938839912415;-9.59715747833252;-1.8495208024978638
1445508894050;50.287567138671875;-104.5363998413086;-7.3984150886535645;-0.9433154463768005;-9.384073257446289;-2.270900249481201
1445508894083;54.019195556640625;-105.0420913696289;-6.735627174377441;-1.4628572463989258;-8.698134422302246;-3.0777463912963867
1445508894116;61.623992919921875;-107.50328826904297;-5.199777126312256;-0.1867477297782898;-8.135497093200684;-3.9815573692321777
1445508894149;65.3834228515625;-108.94204711914062;-4.627967357635498;-0.15562310814857483;-7.654263019561768;-3.7612907886505127
1445508894182;73.075927734375;-112.37161254882812;-3.1063106060028076;-0.2968810200691223;-6.9024834632873535;-4.459200859069824
1445508894216;78.19171142578125;-117.3082275390625;-2.469176769256592;-0.15562310814857483;-8.076839447021484;-6.888118267059326
1445508894248;79.683837890625;-119.96519470214844;-2.370753765106201;-0.99479079246521;-9.194931983947754;-7.845798969268799
1445508894281;81.66705322265625;-124.09757232666016;-2.2260494232177734;0.2621650993824005;-11.150994300842285;-8.117541313171387
1445508894314;78.67486572265625;-125.3486328125;-4.223524570465088;2.1380221843719482;-11.037269592285156;-6.891709804534912
1445508894348;74.35238647460938;-125.42176818847656;-6.134187698364258;1.942894697189331;-9.332598686218262;-6.1052141189575195
1445508894379;70.35406494140625;-125.08412170410156;-7.781301498413086;2.191891670227051;-8.197746276855469;-5.793968200683594
1445508894413;68.4393310546875;-124.6814193725586;-8.532991409301758;2.055422067642212;-7.987056732177734;-5.313930511474609
1445508894446;63.834014892578125;-123.62570190429688;-10.166431427001953;1.556231141090393;-7.420828342437744;-4.947618007659912
1445508894478;57.989471435546875;-122.53295135498047;-12.60700798034668;2.628833532333374;-7.1490864753723145;-4.460397720336914
1445508894512;55.1197509765625;-121.98265838623047;-13.87417221069336;2.914940595626831;-7.4770917892456055;-4.349067211151123
1445508894544;49.88519287109375;-120.51423645019531;-16.1024112701416;3.4320881366729736;-8.067262649536133;-3.4727895259857178
1445508894577;47.9515380859375;-119.72616577148438;-16.89476776123047;3.5697548389434814;-8.908824920654297;-3.7433342933654785
1445508894611;45.503662109375;-118.10037994384766;-17.112720489501953;0.35075053572654724;-7.043741226196289;-3.3913867473602295
1445508894644;40.093017578125;-117.99493408203125;-19.322940826416016;4.270058631896973;-6.860584735870361;-1.3204022645950317
1445508894677;39.140228271484375;-118.09193420410156;-20.458269119262695;5.378573894500732;-8.71489429473877;-1.4293384552001953
1445508894711;40.039337158203125;-118.79553985595703;-21.828678131103516;4.003105163574219;-7.675810813903809;-1.5658079385757446
1445508894744;40.81011962890625;-119.57874298095703;-22.910743713378906;5.4013190269470215;-12.591106414794922;-2.58813214302063
1445508894776;40.517181396484375;-119.8638687133789;-23.46222686767578;3.8127663135528564;-12.168530464172363;-2.941276788711548
1445508894810;42.4969482421875;-119.42566680908203;-23.431190490722656;2.8179752826690674;-11.137825965881348;-2.248155355453491
1445508894842;44.04449462890625;-119.27867889404297;-23.68471336364746;4.683058738708496;-9.26915168762207;-1.6699557304382324
1445508894877;48.354736328125;-119.8544921875;-24.78940200805664;3.5865142345428467;-8.735244750976562;-2.188300371170044
1445508894908;52.313995361328125;-119.74468231201172;-24.47899627685547;1.8471266031265259;-6.800729751586914;-3.3925838470458984
1445508894944;60.97210693359375;-119.67974853515625;-23.517866134643555;1.3694833517074585;-5.87896203994751;-3.9899370670318604
1445508894977;71.58294677734375;-118.90924835205078;-21.093368530273438;0.7182605266571045;-7.45913553237915;-4.801571369171143
1445508895006;76.72027587890625;-118.46293640136719;-19.697113037109375;1.8052281141281128;-10.260351181030273;-7.649474620819092
1445508895040;85.72015380859375;-119.81211853027344;-18.052581787109375;5.9088897705078125;-9.569623947143555;-8.92917537689209
1445508895072;87.20291137695312;-121.52359008789062;-19.07396697998047;5.536591529846191;-8.079233169555664;-7.536946773529053
1445508895105;92.353759765625;-122.14915466308594;-17.725414276123047;-0.33758243918418884;-7.538144111633301;-4.661510944366455
1445508895139;100.0614013671875;-120.76657104492188;-13.785351753234863;2.782062292098999;-8.17380428314209;-6.314706802368164
1445508895172;101.82806396484375;-121.0736312866211;-12.76934814453125;2.7736825942993164;-7.5884222984313965;-6.870162010192871
1445508895205;104.11740112304688;-122.04884338378906;-10.193642616271973;-1.0989385843276978;-7.666234016418457;-6.260837554931641
1445508895238;104.43937683105469;-120.94781494140625;-8.365924835205078;-3.892971992492676;-7.687781810760498;-2.256535053253174
1445508895271;98.30706787109375;-119.9020767211914;-8.612003326416016;3.354276657104492;-9.963470458984375;-5.21097993850708
1445508895304;93.86859130859375;-120.62471008300781;-9.821711540222168;0.993593692779541;-14.379575729370117;-5.519832134246826
1445508895337;96.6629638671875;-115.96688842773438;-5.016345500946045;-0.5207388401031494;-9.807847023010254;-1.0833762884140015
1445508895370;98.02239990234375;-112.68014526367188;-2.4416921138763428;0.6009446382522583;-12.449849128723145;-0.15921440720558167
1445508895403;97.73101806640625;-110.01368713378906;-1.8413867950439453;1.8579005002975464;-12.15057373046875;1.0067617893218994
1445508895436;94.81344604492188;-104.05329132080078;-2.222074270248413;4.566939830780029;-10.14782428741455;0.851138710975647
1445508895469;93.12838745117188;-101.88174438476562;-2.9870827198028564;1.9345149993896484;-9.520543098449707;-0.14484919607639313
